service_id,date,exception_type
NS:0,20140301,1
NS:0,20140302,1
NS:0,20140303,1
NS:0,20140304,1
NS:0,20140305,1
NS:0,20140306,1
NS:0,20140307,1
NS:0,20140308,1
NS:0,20140309,1
NS:0,20140310,1
NS:0,20140311,1
NS:0,20140312,1
NS:0,20140313,1
NS:0,20140314,1
NS:0,20140315,1
NS:0,20140316,1
NS:0,20140317,1
NS:0,20140318,1
NS:0,20140319,1
NS:0,20140320,1
NS:0,20140321,1
NS:0,20140322,1
NS:0,20140323,1
NS:0,20140324,1
NS:0,20140325,1
NS:0,20140326,1
NS:0,20140327,1
NS:0,20140328,1
NS:0,20140329,1
NS:0,20140330,1
NS:0,20140331,1
diza,20140301,1
diza,20140304,1
diza,20140305,1
diza,20140306,1
diza,20140307,1
diza,20140308,1
diza,20140311,1
diza,20140312,1
diza,20140313,1
diza,20140314,1
diza,20140315,1
diza,20140318,1
diza,20140319,1
diza,20140320,1
diza,20140321,1
diza,20140322,1
diza,20140325,1
diza,20140326,1
diza,20140327,1
diza,20140328,1
diza,20140329,1
zo,20140302,1
zo,20140309,1
zo,20140316,1
zo,20140323,1
zo,20140330,1
ma,20140303,1
ma,20140310,1
ma,20140317,1
ma,20140324,1
ma,20140331,1
