trip_id,arrival_time,departure_time,stop_id,arrival_stop_id,stop_sequence,pickup_type,drop_off_type
3047,12:04:00,12:04:00,hdr|3,,1,0,0
3047,13:18:00,13:22:00,asd|4,,12,0,0
3047,13:51:00,13:53:00,ut|14,,14,0,0
3047,14:11:00,14:11:00,klp|2,,15,0,0
3047,14:17:00,14:17:00,ed|4,,16,0,0
3047,14:29:00,14:34:00,ah|8,,17,0,0
3047,14:47:00,14:47:00,nm|1a,,18,0,0
3049,13:54:00,13:54:00,asd|5,,1,0,0
3049,14:01:00,14:01:00,asa|4,,2,0,0
3049,14:21:00,14:23:00,ut|14,,3,0,0
3049,14:41:00,14:41:00,klp|2,,4,0,0
3049,14:47:00,14:47:00,ed|4,,5,0,0
3049,14:59:00,15:04:00,ah|8,,6,0,0
3051,13:04:00,13:04:00,hdr|3,,1,0,0
3051,14:18:00,14:22:00,asd|4,,12,0,0
3051,14:51:00,14:53:00,ut|14,,14,0,0
3051,15:11:00,15:11:00,klp|2,,15,0,0
3051,15:17:00,15:17:00,ed|4,,16,0,0
3051,15:29:00,15:34:00,ah|8,,17,0,0
3051,15:47:00,15:47:00,nm|1a,,18,0,0
3147|ma,13:00:00,13:00:00,shl|1-2,,1,0,0
3147|ma,13:08:00,13:09:00,asdz|1,,2,0,0
3147|ma,13:14:00,13:15:00,asb|7,,3,0,0
3147|ma,13:32:00,13:38:00,ut|14,,4,0,0
3147|ma,13:46:00,13:46:00,db|1,,5,0,0
3147|ma,14:02:00,14:02:00,ed|4,,6,0,0
3147|ma,14:14:00,14:19:00,ah|8,,7,0,0
3147|ma,14:32:00,14:32:00,nm|1a,,8,0,0
3147,13:00:00,13:00:00,shl|1-2,,1,0,0
3147,13:08:00,13:09:00,asdz|2,,2,0,0
3147,13:14:00,13:15:00,asb|7,,3,0,0
3147,13:32:00,13:38:00,ut|14,,4,0,0
3147,13:46:00,13:46:00,db|1,,5,0,0
3147,14:02:00,14:02:00,ed|4,,6,0,0
3147,14:14:00,14:19:00,ah|8,,7,0,0
3147,14:32:00,14:32:00,nm|1a,,8,0,0
3147|zo,13:00:00,13:00:00,shl|1-2,,1,0,0
3147|zo,13:08:00,13:09:00,asdz|2,,2,0,0
3147|zo,13:14:00,13:15:00,asb|7,,3,0,0
3147|zo,13:32:00,13:38:00,ut|14,,4,0,0
3147|zo,13:46:00,13:46:00,db|1,,5,0,0
3147|zo,14:14:00,14:19:00,ah|8,,7,0,0
3147|zo,14:32:00,14:32:00,nm|1a,,8,0,0
